Using device: cuda
Calculating perplexities: 100%|███████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 617/617 [00:51<00:00, 12.05it/s]
ref_path: gpt2-124m, PPL AUC: 0.6283765319207079, PROB AUC: 0.6084274032498791, LOGPROB AUC: 0.6816337684723887, PPL ACC: 0.5559157212317666, PROB ACC: 0.539708265802269, LOGPROB ACC: 0.5494327390599676
ref_path: gpt2-124m, RATIO: 0.01, PROB AUC: 0.664480460784932, LOGPROB AUC: 0.605778730739316, PROB ACC: 0.6272285251215559, LOGPROB ACC: 0.5526742301458671
ref_path: gpt2-124m, RATIO: 0.01, PROB_BASE AUC: 0.5, LOGPROB_BASE AUC: 0.5, PROB_BASE ACC: 0.4878444084278768, LOGPROB_BASE ACC: 0.4878444084278768
ref_path: gpt2-124m, RATIO: 0.01, PROB_REF AUC: 0.5, LOGPROB_REF AUC: 0.5, PROB_REF ACC: 0.4878444084278768, LOGPROB_REF ACC: 0.4878444084278768

ref_path: gpt2-124m, RATIO: 0.02, PROB AUC: 0.6977675474553825, LOGPROB AUC: 0.6183809463748923, PROB ACC: 0.646677471636953, LOGPROB ACC: 0.5559157212317666
ref_path: gpt2-124m, RATIO: 0.02, PROB_BASE AUC: 0.5, LOGPROB_BASE AUC: 0.5, PROB_BASE ACC: 0.4878444084278768, LOGPROB_BASE ACC: 0.4878444084278768
ref_path: gpt2-124m, RATIO: 0.02, PROB_REF AUC: 0.5, LOGPROB_REF AUC: 0.5, PROB_REF ACC: 0.4878444084278768, LOGPROB_REF ACC: 0.4878444084278768

ref_path: gpt2-124m, RATIO: 0.03, PROB AUC: 0.6975888671669715, LOGPROB AUC: 0.6282819364739022, PROB ACC: 0.646677471636953, LOGPROB ACC: 0.5429497568881686
ref_path: gpt2-124m, RATIO: 0.03, PROB_BASE AUC: 0.5, LOGPROB_BASE AUC: 0.5, PROB_BASE ACC: 0.4878444084278768, LOGPROB_BASE ACC: 0.4878444084278768
ref_path: gpt2-124m, RATIO: 0.03, PROB_REF AUC: 0.5, LOGPROB_REF AUC: 0.5, PROB_REF ACC: 0.4878444084278768, LOGPROB_REF ACC: 0.4878444084278768

ref_path: gpt2-124m, RATIO: 0.04, PROB AUC: 0.6935107523491203, LOGPROB AUC: 0.6342729814382713, PROB ACC: 0.6434359805510534, LOGPROB ACC: 0.539708265802269
ref_path: gpt2-124m, RATIO: 0.04, PROB_BASE AUC: 0.5, LOGPROB_BASE AUC: 0.5, PROB_BASE ACC: 0.4878444084278768, LOGPROB_BASE ACC: 0.4878444084278768
ref_path: gpt2-124m, RATIO: 0.04, PROB_REF AUC: 0.5, LOGPROB_REF AUC: 0.5, PROB_REF ACC: 0.4878444084278768, LOGPROB_REF ACC: 0.4878444084278768

ref_path: gpt2-124m, RATIO: 0.05, PROB AUC: 0.6890962981648483, LOGPROB AUC: 0.6390553068045657, PROB ACC: 0.6434359805510534, LOGPROB ACC: 0.5364667747163695
ref_path: gpt2-124m, RATIO: 0.05, PROB_BASE AUC: 0.5, LOGPROB_BASE AUC: 0.5, PROB_BASE ACC: 0.4878444084278768, LOGPROB_BASE ACC: 0.4878444084278768
ref_path: gpt2-124m, RATIO: 0.05, PROB_REF AUC: 0.5, LOGPROB_REF AUC: 0.5, PROB_REF ACC: 0.4878444084278768, LOGPROB_REF ACC: 0.4878444084278768

ref_path: gpt2-124m, RATIO: 0.06, PROB AUC: 0.686006180235858, LOGPROB AUC: 0.6419352126295433, PROB ACC: 0.6304700162074555, LOGPROB ACC: 0.5299837925445705
ref_path: gpt2-124m, RATIO: 0.06, PROB_BASE AUC: 0.5, LOGPROB_BASE AUC: 0.5, PROB_BASE ACC: 0.4878444084278768, LOGPROB_BASE ACC: 0.4878444084278768
ref_path: gpt2-124m, RATIO: 0.06, PROB_REF AUC: 0.5, LOGPROB_REF AUC: 0.5, PROB_REF ACC: 0.4878444084278768, LOGPROB_REF ACC: 0.4878444084278768

ref_path: gpt2-124m, RATIO: 0.07, PROB AUC: 0.6819595972336087, LOGPROB AUC: 0.6451094154001388, PROB ACC: 0.6239870340356564, LOGPROB ACC: 0.539708265802269
ref_path: gpt2-124m, RATIO: 0.07, PROB_BASE AUC: 0.5, LOGPROB_BASE AUC: 0.5, PROB_BASE ACC: 0.4878444084278768, LOGPROB_BASE ACC: 0.4878444084278768
ref_path: gpt2-124m, RATIO: 0.07, PROB_REF AUC: 0.5, LOGPROB_REF AUC: 0.5, PROB_REF ACC: 0.4878444084278768, LOGPROB_REF ACC: 0.4878444084278768

ref_path: gpt2-124m, RATIO: 0.08, PROB AUC: 0.6790796914086312, LOGPROB AUC: 0.6475268545962877, PROB ACC: 0.6272285251215559, LOGPROB ACC: 0.539708265802269
ref_path: gpt2-124m, RATIO: 0.08, PROB_BASE AUC: 0.5, LOGPROB_BASE AUC: 0.5, PROB_BASE ACC: 0.4878444084278768, LOGPROB_BASE ACC: 0.4878444084278768
ref_path: gpt2-124m, RATIO: 0.08, PROB_REF AUC: 0.5, LOGPROB_REF AUC: 0.5, PROB_REF ACC: 0.4878444084278768, LOGPROB_REF ACC: 0.4878444084278768

ref_path: gpt2-124m, RATIO: 0.09, PROB AUC: 0.6780181202833659, LOGPROB AUC: 0.651752117886948, PROB ACC: 0.6304700162074555, LOGPROB ACC: 0.539708265802269
ref_path: gpt2-124m, RATIO: 0.09, PROB_BASE AUC: 0.5, LOGPROB_BASE AUC: 0.5, PROB_BASE ACC: 0.4878444084278768, LOGPROB_BASE ACC: 0.4878444084278768
ref_path: gpt2-124m, RATIO: 0.09, PROB_REF AUC: 0.5, LOGPROB_REF AUC: 0.5, PROB_REF ACC: 0.4878444084278768, LOGPROB_REF ACC: 0.4878444084278768

ref_path: gpt2-124m, RATIO: 0.1, PROB AUC: 0.6767463370540875, LOGPROB AUC: 0.6548422358159383, PROB ACC: 0.6304700162074555, LOGPROB ACC: 0.539708265802269
ref_path: gpt2-124m, RATIO: 0.1, PROB_BASE AUC: 0.5, LOGPROB_BASE AUC: 0.5, PROB_BASE ACC: 0.4878444084278768, LOGPROB_BASE ACC: 0.4878444084278768
ref_path: gpt2-124m, RATIO: 0.1, PROB_REF AUC: 0.5, LOGPROB_REF AUC: 0.5, PROB_REF ACC: 0.4878444084278768, LOGPROB_REF ACC: 0.4878444084278768

ref_path: gpt2-124m, RATIO: 0.2, PROB AUC: 0.6632507199764562, LOGPROB AUC: 0.6758424250068318, PROB ACC: 0.6142625607779578, LOGPROB ACC: 0.5526742301458671
ref_path: gpt2-124m, RATIO: 0.2, PROB_BASE AUC: 0.5, LOGPROB_BASE AUC: 0.5, PROB_BASE ACC: 0.4878444084278768, LOGPROB_BASE ACC: 0.4878444084278768
ref_path: gpt2-124m, RATIO: 0.2, PROB_REF AUC: 0.5, LOGPROB_REF AUC: 0.5, PROB_REF ACC: 0.4878444084278768, LOGPROB_REF ACC: 0.4878444084278768

ref_path: gpt2-124m, RATIO: 0.3, PROB AUC: 0.6599609005486535, LOGPROB AUC: 0.6858064787370457, PROB ACC: 0.6272285251215559, LOGPROB ACC: 0.5526742301458671
ref_path: gpt2-124m, RATIO: 0.3, PROB_BASE AUC: 0.5, LOGPROB_BASE AUC: 0.5, PROB_BASE ACC: 0.4878444084278768, LOGPROB_BASE ACC: 0.4878444084278768
ref_path: gpt2-124m, RATIO: 0.3, PROB_REF AUC: 0.5, LOGPROB_REF AUC: 0.5, PROB_REF ACC: 0.4878444084278768, LOGPROB_REF ACC: 0.4878444084278768

ref_path: gpt2-124m, RATIO: 0.4, PROB AUC: 0.648199533329129, LOGPROB AUC: 0.6898951041600976, PROB ACC: 0.6110210696920584, LOGPROB ACC: 0.5494327390599676
ref_path: gpt2-124m, RATIO: 0.4, PROB_BASE AUC: 0.5, LOGPROB_BASE AUC: 0.5, PROB_BASE ACC: 0.4878444084278768, LOGPROB_BASE ACC: 0.4878444084278768
ref_path: gpt2-124m, RATIO: 0.4, PROB_REF AUC: 0.5, LOGPROB_REF AUC: 0.5, PROB_REF ACC: 0.4878444084278768, LOGPROB_REF ACC: 0.4878444084278768

ref_path: gpt2-124m, RATIO: 0.5, PROB AUC: 0.6363120388471968, LOGPROB AUC: 0.690389102604528, PROB ACC: 0.5753646677471637, LOGPROB ACC: 0.5494327390599676
ref_path: gpt2-124m, RATIO: 0.5, PROB_BASE AUC: 0.5, LOGPROB_BASE AUC: 0.5, PROB_BASE ACC: 0.4878444084278768, LOGPROB_BASE ACC: 0.4878444084278768
ref_path: gpt2-124m, RATIO: 0.5, PROB_REF AUC: 0.5, LOGPROB_REF AUC: 0.5, PROB_REF ACC: 0.4878444084278768, LOGPROB_REF ACC: 0.4878444084278768

ref_path: gpt2-124m, RATIO: 0.6, PROB AUC: 0.6235836959492127, LOGPROB AUC: 0.6893380420844633, PROB ACC: 0.5623987034035657, LOGPROB ACC: 0.5526742301458671
ref_path: gpt2-124m, RATIO: 0.6, PROB_BASE AUC: 0.5, LOGPROB_BASE AUC: 0.5, PROB_BASE ACC: 0.4878444084278768, LOGPROB_BASE ACC: 0.4878444084278768
ref_path: gpt2-124m, RATIO: 0.6, PROB_REF AUC: 0.5, LOGPROB_REF AUC: 0.5, PROB_REF ACC: 0.4878444084278768, LOGPROB_REF ACC: 0.4878444084278768

ref_path: gpt2-124m, RATIO: 0.7, PROB AUC: 0.6113913939164617, LOGPROB AUC: 0.6861533287086671, PROB ACC: 0.5429497568881686, LOGPROB ACC: 0.5494327390599676
ref_path: gpt2-124m, RATIO: 0.7, PROB_BASE AUC: 0.5, LOGPROB_BASE AUC: 0.5, PROB_BASE ACC: 0.4878444084278768, LOGPROB_BASE ACC: 0.4878444084278768
ref_path: gpt2-124m, RATIO: 0.7, PROB_REF AUC: 0.5, LOGPROB_REF AUC: 0.5, PROB_REF ACC: 0.4878444084278768, LOGPROB_REF ACC: 0.4878444084278768

ref_path: gpt2-124m, RATIO: 0.8, PROB AUC: 0.6045384793256396, LOGPROB AUC: 0.6829581047276703, PROB ACC: 0.5429497568881686, LOGPROB ACC: 0.5526742301458671
ref_path: gpt2-124m, RATIO: 0.8, PROB_BASE AUC: 0.5, LOGPROB_BASE AUC: 0.5, PROB_BASE ACC: 0.4878444084278768, LOGPROB_BASE ACC: 0.4878444084278768
ref_path: gpt2-124m, RATIO: 0.8, PROB_REF AUC: 0.5, LOGPROB_REF AUC: 0.5, PROB_REF ACC: 0.4878444084278768, LOGPROB_REF ACC: 0.4878444084278768

ref_path: gpt2-124m, RATIO: 0.9, PROB AUC: 0.6072817472830085, LOGPROB AUC: 0.6817073427087932, PROB ACC: 0.539708265802269, LOGPROB ACC: 0.5526742301458671
ref_path: gpt2-124m, RATIO: 0.9, PROB_BASE AUC: 0.5, LOGPROB_BASE AUC: 0.5, PROB_BASE ACC: 0.4878444084278768, LOGPROB_BASE ACC: 0.4878444084278768
ref_path: gpt2-124m, RATIO: 0.9, PROB_REF AUC: 0.5, LOGPROB_REF AUC: 0.5, PROB_REF ACC: 0.4878444084278768, LOGPROB_REF ACC: 0.4878444084278768

ref_path: gpt2-124m, RATIO: 1.0, PROB AUC: 0.6084274032498791, LOGPROB AUC: 0.6815707048411848, PROB ACC: 0.539708265802269, LOGPROB ACC: 0.5526742301458671
ref_path: gpt2-124m, RATIO: 1.0, PROB_BASE AUC: 0.5, LOGPROB_BASE AUC: 0.5, PROB_BASE ACC: 0.4878444084278768, LOGPROB_BASE ACC: 0.4878444084278768
ref_path: gpt2-124m, RATIO: 1.0, PROB_REF AUC: 0.5, LOGPROB_REF AUC: 0.5, PROB_REF ACC: 0.4878444084278768, LOGPROB_REF ACC: 0.4878444084278768




Calculating perplexities: 100%|███████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 617/617 [00:59<00:00, 10.34it/s]
ref_path: gpt2-355m, PPL AUC: 0.6632717411868576, PROB AUC: 0.6147547875806689, LOGPROB AUC: 0.6855647348174307, PPL ACC: 0.5656401944894651, PROB ACC: 0.5332252836304701, LOGPROB ACC: 0.5526742301458671
ref_path: gpt2-355m, RATIO: 0.01, PROB AUC: 0.6619474049315759, LOGPROB AUC: 0.626053688171365, PROB ACC: 0.6239870340356564, LOGPROB ACC: 0.5915721231766613
ref_path: gpt2-355m, RATIO: 0.01, PROB_BASE AUC: 0.5, LOGPROB_BASE AUC: 0.5, PROB_BASE ACC: 0.4878444084278768, LOGPROB_BASE ACC: 0.4878444084278768
ref_path: gpt2-355m, RATIO: 0.01, PROB_REF AUC: 0.5, LOGPROB_REF AUC: 0.5, PROB_REF ACC: 0.4878444084278768, LOGPROB_REF ACC: 0.4878444084278768

ref_path: gpt2-355m, RATIO: 0.02, PROB AUC: 0.7016144289588193, LOGPROB AUC: 0.6460869016837989, PROB ACC: 0.653160453808752, LOGPROB ACC: 0.6077795786061588
ref_path: gpt2-355m, RATIO: 0.02, PROB_BASE AUC: 0.5, LOGPROB_BASE AUC: 0.5, PROB_BASE ACC: 0.4878444084278768, LOGPROB_BASE ACC: 0.4878444084278768
ref_path: gpt2-355m, RATIO: 0.02, PROB_REF AUC: 0.5, LOGPROB_REF AUC: 0.5, PROB_REF ACC: 0.4878444084278768, LOGPROB_REF ACC: 0.4878444084278768

ref_path: gpt2-355m, RATIO: 0.03, PROB AUC: 0.7089928738096739, LOGPROB AUC: 0.6565449538584431, PROB ACC: 0.6434359805510534, LOGPROB ACC: 0.5883306320907618
ref_path: gpt2-355m, RATIO: 0.03, PROB_BASE AUC: 0.5, LOGPROB_BASE AUC: 0.5, PROB_BASE ACC: 0.4878444084278768, LOGPROB_BASE ACC: 0.4878444084278768
ref_path: gpt2-355m, RATIO: 0.03, PROB_REF AUC: 0.5, LOGPROB_REF AUC: 0.5, PROB_REF ACC: 0.4878444084278768, LOGPROB_REF ACC: 0.4878444084278768

ref_path: gpt2-355m, RATIO: 0.04, PROB AUC: 0.7118832902398522, LOGPROB AUC: 0.6627357003216245, PROB ACC: 0.6434359805510534, LOGPROB ACC: 0.5915721231766613
ref_path: gpt2-355m, RATIO: 0.04, PROB_BASE AUC: 0.5, LOGPROB_BASE AUC: 0.5, PROB_BASE ACC: 0.4878444084278768, LOGPROB_BASE ACC: 0.4878444084278768
ref_path: gpt2-355m, RATIO: 0.04, PROB_REF AUC: 0.5, LOGPROB_REF AUC: 0.5, PROB_REF ACC: 0.4878444084278768, LOGPROB_REF ACC: 0.4878444084278768

ref_path: gpt2-355m, RATIO: 0.05, PROB AUC: 0.7120724811334637, LOGPROB AUC: 0.6684534695507767, PROB ACC: 0.6369529983792545, LOGPROB ACC: 0.5786061588330632
ref_path: gpt2-355m, RATIO: 0.05, PROB_BASE AUC: 0.5, LOGPROB_BASE AUC: 0.5, PROB_BASE ACC: 0.4878444084278768, LOGPROB_BASE ACC: 0.4878444084278768
ref_path: gpt2-355m, RATIO: 0.05, PROB_REF AUC: 0.5, LOGPROB_REF AUC: 0.5, PROB_REF ACC: 0.4878444084278768, LOGPROB_REF ACC: 0.4878444084278768

ref_path: gpt2-355m, RATIO: 0.06, PROB AUC: 0.7117886947930462, LOGPROB AUC: 0.6730150722078577, PROB ACC: 0.6337115072933549, LOGPROB ACC: 0.5753646677471637
ref_path: gpt2-355m, RATIO: 0.06, PROB_BASE AUC: 0.5, LOGPROB_BASE AUC: 0.5, PROB_BASE ACC: 0.4878444084278768, LOGPROB_BASE ACC: 0.4878444084278768
ref_path: gpt2-355m, RATIO: 0.06, PROB_REF AUC: 0.5, LOGPROB_REF AUC: 0.5, PROB_REF ACC: 0.4878444084278768, LOGPROB_REF ACC: 0.4878444084278768

ref_path: gpt2-355m, RATIO: 0.07, PROB AUC: 0.7083201950768325, LOGPROB AUC: 0.6762943810304598, PROB ACC: 0.6369529983792545, LOGPROB ACC: 0.5721231766612642
ref_path: gpt2-355m, RATIO: 0.07, PROB_BASE AUC: 0.5, LOGPROB_BASE AUC: 0.5, PROB_BASE ACC: 0.4878444084278768, LOGPROB_BASE ACC: 0.4878444084278768
ref_path: gpt2-355m, RATIO: 0.07, PROB_REF AUC: 0.5, LOGPROB_REF AUC: 0.5, PROB_REF ACC: 0.4878444084278768, LOGPROB_REF ACC: 0.4878444084278768

ref_path: gpt2-355m, RATIO: 0.08, PROB AUC: 0.7066595194551302, LOGPROB AUC: 0.6782283323873788, PROB ACC: 0.6369529983792545, LOGPROB ACC: 0.5753646677471637
ref_path: gpt2-355m, RATIO: 0.08, PROB_BASE AUC: 0.5, LOGPROB_BASE AUC: 0.5, PROB_BASE ACC: 0.4878444084278768, LOGPROB_BASE ACC: 0.4878444084278768
ref_path: gpt2-355m, RATIO: 0.08, PROB_REF AUC: 0.5, LOGPROB_REF AUC: 0.5, PROB_REF ACC: 0.4878444084278768, LOGPROB_REF ACC: 0.4878444084278768

ref_path: gpt2-355m, RATIO: 0.09, PROB AUC: 0.7054718210674569, LOGPROB AUC: 0.6810241533707511, PROB ACC: 0.6369529983792545, LOGPROB ACC: 0.5753646677471637
ref_path: gpt2-355m, RATIO: 0.09, PROB_BASE AUC: 0.5, LOGPROB_BASE AUC: 0.5, PROB_BASE ACC: 0.4878444084278768, LOGPROB_BASE ACC: 0.4878444084278768
ref_path: gpt2-355m, RATIO: 0.09, PROB_REF AUC: 0.5, LOGPROB_REF AUC: 0.5, PROB_REF ACC: 0.4878444084278768, LOGPROB_REF ACC: 0.4878444084278768

ref_path: gpt2-355m, RATIO: 0.1, PROB AUC: 0.7043997393369911, LOGPROB AUC: 0.683262912278489, PROB ACC: 0.6369529983792545, LOGPROB ACC: 0.5818476499189628
ref_path: gpt2-355m, RATIO: 0.1, PROB_BASE AUC: 0.5, LOGPROB_BASE AUC: 0.5, PROB_BASE ACC: 0.4878444084278768, LOGPROB_BASE ACC: 0.4878444084278768
ref_path: gpt2-355m, RATIO: 0.1, PROB_REF AUC: 0.5, LOGPROB_REF AUC: 0.5, PROB_REF ACC: 0.4878444084278768, LOGPROB_REF ACC: 0.4878444084278768

ref_path: gpt2-355m, RATIO: 0.2, PROB AUC: 0.6932795190347061, LOGPROB AUC: 0.6940257720039519, PROB ACC: 0.6239870340356564, LOGPROB ACC: 0.5818476499189628
ref_path: gpt2-355m, RATIO: 0.2, PROB_BASE AUC: 0.5, LOGPROB_BASE AUC: 0.5, PROB_BASE ACC: 0.4878444084278768, LOGPROB_BASE ACC: 0.4878444084278768
ref_path: gpt2-355m, RATIO: 0.2, PROB_REF AUC: 0.5, LOGPROB_REF AUC: 0.5, PROB_REF ACC: 0.4878444084278768, LOGPROB_REF ACC: 0.4878444084278768

ref_path: gpt2-355m, RATIO: 0.3, PROB AUC: 0.6887494481932269, LOGPROB AUC: 0.6994387336822854, PROB ACC: 0.6337115072933549, LOGPROB ACC: 0.5721231766612642
ref_path: gpt2-355m, RATIO: 0.3, PROB_BASE AUC: 0.5, LOGPROB_BASE AUC: 0.5, PROB_BASE ACC: 0.4878444084278768, LOGPROB_BASE ACC: 0.4878444084278768
ref_path: gpt2-355m, RATIO: 0.3, PROB_REF AUC: 0.5, LOGPROB_REF AUC: 0.5, PROB_REF ACC: 0.4878444084278768, LOGPROB_REF ACC: 0.4878444084278768

ref_path: gpt2-355m, RATIO: 0.4, PROB AUC: 0.6723634146854176, LOGPROB AUC: 0.701593407748418, PROB ACC: 0.5818476499189628, LOGPROB ACC: 0.5656401944894651
ref_path: gpt2-355m, RATIO: 0.4, PROB_BASE AUC: 0.5, LOGPROB_BASE AUC: 0.5, PROB_BASE ACC: 0.4878444084278768, LOGPROB_BASE ACC: 0.4878444084278768
ref_path: gpt2-355m, RATIO: 0.4, PROB_REF AUC: 0.5, LOGPROB_REF AUC: 0.5, PROB_REF ACC: 0.4878444084278768, LOGPROB_REF ACC: 0.4878444084278768

ref_path: gpt2-355m, RATIO: 0.5, PROB AUC: 0.6558827857308025, LOGPROB AUC: 0.6982825671102143, PROB ACC: 0.5623987034035657, LOGPROB ACC: 0.5656401944894651
ref_path: gpt2-355m, RATIO: 0.5, PROB_BASE AUC: 0.5, LOGPROB_BASE AUC: 0.5, PROB_BASE ACC: 0.4878444084278768, LOGPROB_BASE ACC: 0.4878444084278768
ref_path: gpt2-355m, RATIO: 0.5, PROB_REF AUC: 0.5, LOGPROB_REF AUC: 0.5, PROB_REF ACC: 0.4878444084278768, LOGPROB_REF ACC: 0.4878444084278768

ref_path: gpt2-355m, RATIO: 0.6, PROB AUC: 0.6436063988564461, LOGPROB AUC: 0.6953606188644342, PROB ACC: 0.5494327390599676, LOGPROB ACC: 0.5559157212317666
ref_path: gpt2-355m, RATIO: 0.6, PROB_BASE AUC: 0.5, LOGPROB_BASE AUC: 0.5, PROB_BASE ACC: 0.4878444084278768, LOGPROB_BASE ACC: 0.4878444084278768
ref_path: gpt2-355m, RATIO: 0.6, PROB_REF AUC: 0.5, LOGPROB_REF AUC: 0.5, PROB_REF ACC: 0.4878444084278768, LOGPROB_REF ACC: 0.4878444084278768

