Using device: cuda
ref_path: gpt2-124m, PPL AUC: 0.6035090993648191, PROB AUC: 0.5923184716493899, LOGPROB AUC: 0.6715784062955121, PPL ACC: 0.5460729746444032, PROB ACC: 0.5213358070500927, LOGPROB ACC: 0.536178107606679
ref_path: gpt2-124m, RATIO: 0.01, PROB AUC: 0.6628752646587279, LOGPROB AUC: 0.6068899998776145, PROB ACC: 0.6202844774273346, LOGPROB ACC: 0.5683364254792826
ref_path: gpt2-124m, RATIO: 0.01, PROB_BASE AUC: 0.5, LOGPROB_BASE AUC: 0.5, PROB_BASE ACC: 0.0018552875695732839, LOGPROB_BASE ACC: 0.0018552875695732839
ref_path: gpt2-124m, RATIO: 0.01, PROB_REF AUC: 0.5, LOGPROB_REF AUC: 0.5, PROB_REF ACC: 0.0018552875695732839, LOGPROB_REF ACC: 0.0018552875695732839

ref_path: gpt2-124m, RATIO: 0.02, PROB AUC: 0.6869240230574356, LOGPROB AUC: 0.6159021650001837, PROB ACC: 0.6314162028447743, LOGPROB ACC: 0.5559678416821274
ref_path: gpt2-124m, RATIO: 0.02, PROB_BASE AUC: 0.5, LOGPROB_BASE AUC: 0.5, PROB_BASE ACC: 0.0018552875695732839, LOGPROB_BASE ACC: 0.0018552875695732839
ref_path: gpt2-124m, RATIO: 0.02, PROB_REF AUC: 0.5, LOGPROB_REF AUC: 0.5, PROB_REF ACC: 0.0018552875695732839, LOGPROB_REF ACC: 0.0018552875695732839

ref_path: gpt2-124m, RATIO: 0.03, PROB AUC: 0.6906062979598331, LOGPROB AUC: 0.6225905347024195, PROB ACC: 0.6351267779839208, LOGPROB ACC: 0.5473098330241187
ref_path: gpt2-124m, RATIO: 0.03, PROB_BASE AUC: 0.5, LOGPROB_BASE AUC: 0.5, PROB_BASE ACC: 0.0018552875695732839, LOGPROB_BASE ACC: 0.0018552875695732839
ref_path: gpt2-124m, RATIO: 0.03, PROB_REF AUC: 0.5, LOGPROB_REF AUC: 0.5, PROB_REF ACC: 0.0018552875695732839, LOGPROB_REF ACC: 0.0018552875695732839
